pr_articul,pr_categories,pr_header,pr_price,pr_stock,pr_url,pr_weight
"
                            040030001204
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp1/2"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 14,16 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204,"
            0.43 kg
        "
"
                            040030101814
                        ","Rohrverbindungen, Industriefittings, ","
                    WINKEL 90 IG-IG Rp1/8"" 316/316Ti
                ","
                    Katalogpreis: 1,46 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814,"
            0.04 kg
        "
"
                            040030103814
                        ","Rohrverbindungen, Industriefittings, ","
                    WINKEL 90 IG-IG Rp3/8"" 316/316Ti
                ","
                    Katalogpreis: 1,59 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-8-316-316Ti/040030103814,"
            0.04 kg
        "
"
                            040030103414
                        ","Rohrverbindungen, Industriefittings, ","
                    WINKEL 90 IG-IG Rp3/4"" 316/316Ti
                ","
                    Katalogpreis: 2,84 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-4-316-316Ti/040030103414,"
            0.026 kg
        "
"
                            040030103804014
                        ","Rohrverbindungen, Industriefittings, ","
                    RED-WINKEL 90 Rp3/8""-1/4"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 2,16 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-8-1-4-316-316Ti-IG-IG/040030103804014,
"
                            040030103404012
                        ","Rohrverbindungen, Industriefittings, ","
                    RED-WINKEL 90 Rp3/4""-1/2"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 3,96 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-4-1-2-316-316Ti-IG-IG/040030103404012,
"
                            040030101414
                        ","Rohrverbindungen, Industriefittings, ","
                    WINKEL 90 IG-IG Rp1/4"" 316/316Ti
                ","
                    Katalogpreis: 1,46 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414,"
            0.062 kg
        "
"
                            040030101214
                        ","Rohrverbindungen, Industriefittings, ","
                    WINKEL 90 IG-IG Rp1/2"" 316/316Ti
                ","
                    Katalogpreis: 1,97 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-2-316-316Ti/040030101214,"
            0.04 kg
        "
"
                            040030101204038
                        ","Rohrverbindungen, Industriefittings, ","
                    RED-WINKEL 90 Rp1/2""-3/8"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 2,57 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp1-2-3-8-316-316Ti-IG-IG/040030101204038,
"
                            040030020004
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp2"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 57,05 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp2-316Ti-RED.-DURCHGANG/040030020004,"
            0.43 kg
        "
"
                            040030020014
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG. KUGELHAHN IG-IG Rp2"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 106,22 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp2-316Ti-FREIER-DURCHGANG/040030020014,"
            3.521 kg
        "
"
                            040030011204
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG.KUGELHAHN IG-IG Rp1.1/2"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 42,54 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.KUGELHAHN-IG-IG-Rp1.1-2-316Ti-RED.-DURCHGANG/040030011204,"
            0.43 kg
        "
"
                            040030011414
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG.KUGELHAHN IG-IG Rp1.1/4"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 51,30 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.KUGELHAHN-IG-IG-Rp1.1-4-316Ti-FREIER-DURCHGANG/040030011414,"
            1.371 kg
        "
"
                            040030010014
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG. KUGELHAHN IG-IG Rp1"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 36,93 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp1-316Ti-FREIER-DURCHGANG/040030010014,"
            0.43 kg
        "
"
                            040030010004
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp1"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 20,80 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-316Ti-RED.-DURCHGANG/040030010004,"
            0.43 kg
        "
"
                            040030011404
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG.KUGELHAHN IG-IG Rp1.1/4"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 35,98 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.KUGELHAHN-IG-IG-Rp1.1-4-316Ti-RED.-DURCHGANG/040030011404,"
            0.43 kg
        "
"
                            040030011214
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG.KUGELHAHN IG-IG Rp1.1/2"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 70,32 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.KUGELHAHN-IG-IG-Rp1.1-2-316Ti-FREIER-DURCHGANG/040030011214,"
            2.138 kg
        "
"
                            040030003804
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp3/8"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 13,08 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp3-8-316Ti-RED.-DURCHGANG/040030003804,"
            0.43 kg
        "
"
                            040030001414
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG. KUGELHAHN IG-IG Rp1/4"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 19,78 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp1-4-316Ti-FREIER-DURCHGANG/040030001414,"
            0.27 kg
        "
"
                            040030001404
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp1/4"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 13,08 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-4-316Ti-RED.-DURCHGANG/040030001404,"
            0.43 kg
        "
"
                            040030003414
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG. KUGELHAHN IG-IG Rp3/4"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 26,73 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp3-4-316Ti-FREIER-DURCHGANG/040030003414,"
            0.43 kg
        "
"
                            040030003814
                        ","Rohrverbindungen, Industriefittings, ","
                    2-TLG. KUGELHAHN IG-IG Rp3/8 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 19,78 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp3-8-316Ti-FREIER-DURCHGANG/040030003814,
"
                            040030003404
                        ","Rohrverbindungen, Industriefittings, ","
                    1-TLG. KUGELHAHN IG-IG Rp3/4"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 17,71 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp3-4-316Ti-RED.-DURCHGANG/040030003404,"
            0.43 kg
        "
"
                            040030503414
                        ","Rohrverbindungen, Industriefittings, ","
                    BOGEN 90 O.MUFFE AG-AG R3/4"" 316/316Ti
                ","
                    Katalogpreis: 13,63 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/BOGEN-90-O.MUFFE-AG-AG-R3-4-316-316Ti/040030503414,
"
                            040030501414
                        ","Rohrverbindungen, Industriefittings, ","
                    BOGEN 90 O.MUFFE AG-AG R1/4"" 316/316Ti
                ","
                    Katalogpreis: 8,89 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/BOGEN-90-O.MUFFE-AG-AG-R1-4-316-316Ti/040030501414,
"
                            040030721214
                        ","Rohrverbindungen, Industriefittings, ","
                    T-STÜCK IG-IG-IG Rp2.1/2"" 316/316Ti
                ","
                    Katalogpreis: 33,86 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/T-STUECK-IG-IG-IG-Rp2.1-2-316-316Ti/040030721214,"
            0.06 kg
        "
"
                            040030720014
                        ","Rohrverbindungen, Industriefittings, ","
                    T-STÜCK IG-IG-IG Rp2"" 316/316Ti
                ","
                    Katalogpreis: 13,32 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/T-STUECK-IG-IG-IG-Rp2-316-316Ti/040030720014,"
            0.06 kg
        "
"
                            040030711214
                        ","Rohrverbindungen, Industriefittings, ","
                    T-STÜCK IG-IG-IG Rp1.1/2"" 316/316Ti
                ","
                    Katalogpreis: 9,27 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/T-STUECK-IG-IG-IG-Rp1.1-2-316-316Ti/040030711214,"
            0.06 kg
        "
